source_id,name,ra,dec,distance,spectral_type,magnitude
GAIA-DR3-3855208897392952192,"GAIA DR3 3855208897392952192",157.22878343,0.83774689,22.9534,M1IV,8.68
GAIA-DR3-2195886971653527168,"GAIA DR3 2195886971653527168",313.33245630,62.15095770,22.9600,M3IV,7.76
GAIA-DR3-1952802469918554368,"GAIA DR3 1952802469918554368",326.59288194,38.21751708,22.9858,M1IV,10.83
GAIA-DR3-6224387727748521344,"GAIA DR3 6224387727748521344",224.15695945,-28.16725415,23.0029,M0V,14.06
GAIA-DR3-4780100658292046592,"GAIA DR3 4780100658292046592",62.61100026,-53.61299677,23.1817,M0V,11.90
GAIA-DR3-2640434056928150400,"GAIA DR3 2640434056928150400",353.79706944,-2.39279939,23.4074,M3IV,12.62
GAIA-DR3-18565464288396416,"GAIA DR3 18565464288396416",39.07167733,6.87808990,23.5599,M4V,10.33
GAIA-DR3-19316224572460416,"GAIA DR3 19316224572460416",39.02838451,6.89333911,23.5765,G9V,5.50
GAIA-DR3-2595284016771502080,"GAIA DR3 2595284016771502080",335.78059284,-17.61050757,23.5956,M9V,11.55
GAIA-DR3-5975663354131618304,"GAIA DR3 5975663354131618304",259.75125274,-34.99779509,23.6232,M5IV,9.39
GAIA-DR3-2552925644460225152,"GAIA DR3 2552925644460225152",12.09910708,5.27553945,24.2505,K2IV,5.47
GAIA-DR3-4683897617110115200,"GAIA DR3 4683897617110115200",6.48250499,-77.25279547,24.3911,G8IV,2.68
GAIA-DR3-1355264565043431040,"GAIA DR3 1355264565043431040",257.38347212,43.68010581,24.7840,M3V,10.45
GAIA-DR3-6604147121141267712,"GAIA DR3 6604147121141267712",344.10194140,-31.56626896,24.7929,K5IV,6.09
GAIA-DR3-4286249341336984576,"GAIA DR3 4286249341336984576",282.07475874,7.69032389,24.8446,M7V,12.30
GAIA-DR3-3738099879558957952,"GAIA DR3 3738099879558957952",202.50420163,10.37238957,24.8782,M0IV,8.21
GAIA-DR3-2257597439718033536,"GAIA DR3 2257597439718033536",274.74325648,66.19061665,24.9254,M7IV,11.91
GAIA-DR3-96331172942614528,"GAIA DR3 96331172942614528",25.62258569,20.26551918,24.9311,K9V,5.00
GAIA-DR3-6575069780231675264,"GAIA DR3 6575069780231675264",330.62692304,-37.08193914,25.0085,M1IV,10.47
GAIA-DR3-411413822074322432,"GAIA DR3 411413822074322432",17.09474986,54.91320398,25.0335,G7V,4.95
GAIA-DR3-6623351805412369024,"GAIA DR3 6623351805412369024",342.02033817,-24.36962742,25.0369,M0IV,11.13
GAIA-DR3-114207651462714880,"GAIA DR3 114207651462714880",41.06888178,25.52175109,25.0513,M7IV,9.47
GAIA-DR3-3828238392559860992,"GAIA DR3 3828238392559860992",153.07293731,-3.74674755,25.1365,M9V,8.33
GAIA-DR3-4375233191015944192,"GAIA DR3 4375233191015944192",261.43588749,2.10615776,25.1575,K6IV,6.93
GAIA-DR3-6135947032490329472,"GAIA DR3 6135947032490329472",194.77664455,-43.60796356,25.1997,M2IV,14.83
GAIA-DR3-2322561156529549440,"GAIA DR3 2322561156529549440",6.18360971,-27.13725776,25.2215,M8V,13.14
GAIA-DR3-999747822484300800,"GAIA DR3 999747822484300800",90.29510136,59.59306279,25.2245,M0V,10.42
GAIA-DR3-4177731838628465408,"GAIA DR3 4177731838628465408",271.28411384,-3.03279800,25.2407,M8V,8.52
GAIA-DR3-3365063724883180288,"GAIA DR3 3365063724883180288",104.87435116,19.34487369,25.2861,M0V,12.78
GAIA-DR3-2161121135533953536,"GAIA DR3 2161121135533953536",270.57119282,64.26058362,25.4203,M2V,11.76
GAIA-DR3-4145870293808914688,"GAIA DR3 4145870293808914688",271.88396509,-15.96461683,25.9988,M5V,11.86
GAIA-DR3-5535361753834861312,"GAIA DR3 5535361753834861312",115.04626042,-42.95894881,26.0295,M3V,12.03
GAIA-DR3-3288921720025503360,"GAIA DR3 3288921720025503360",72.46212402,6.96133101,26.1721,F3V,3.09
GAIA-DR3-5559035514779971456,"GAIA DR3 5559035514779971456",104.43732955,-44.29139605,26.1827,M0V,10.42
GAIA-DR3-5559035514776717312,"GAIA DR3 5559035514776717312",104.43647191,-44.29165131,26.2275,M5IV,10.38
GAIA-DR3-786834302080370304,"GAIA DR3 786834302080370304",177.73016381,48.37309980,26.2315,M7V,11.68
GAIA-DR3-6133474952391837824,"GAIA DR3 6133474952391837824",190.18807527,-43.56332198,26.2638,M6IV,10.98
GAIA-DR3-3735000631158990976,"GAIA DR3 3735000631158990976",191.98138883,9.74935423,26.3506,M7V,10.11
GAIA-DR3-2246206567973292160,"GAIA DR3 2246206567973292160",307.63826398,65.45081813,26.3764,M2V,9.44
GAIA-DR3-3698534434669937024,"GAIA DR3 3698534434669937024",183.56472560,0.62272713,26.3789,M2V,11.83
GAIA-DR3-5700706729031126656,"GAIA DR3 5700706729031126656",123.17043503,-21.55502399,26.4731,M8IV,10.67
GAIA-DR3-3320184202856435840,"GAIA DR3 3320184202856435840",89.10409822,5.35934471,26.4740,G0V,13.97
GAIA-DR3-4550763526539955712,"GAIA DR3 4550763526539955712",264.47662365,18.59608765,26.6132,M9V,8.74
GAIA-DR3-5273943488410008832,"GAIA DR3 5273943488410008832",118.30118446,-67.79867245,26.6440,G2V,13.78
GAIA-DR3-4911306239828325632,"GAIA DR3 4911306239828325632",24.95131742,-56.19325138,26.7103,K6V,5.51
GAIA-DR3-4911306239828325760,"GAIA DR3 4911306239828325760",24.95065662,-56.19640007,26.7334,K0V,5.63
GAIA-DR3-4719430087707860736,"GAIA DR3 4719430087707860736",30.16043510,-55.96826051,26.7982,M9V,10.56
GAIA-DR3-2396530698208685312,"GAIA DR3 2396530698208685312",345.06283532,-22.52408921,26.8503,K2IV,7.26
GAIA-DR3-533621859441169920,"GAIA DR3 533621859441169920",15.65901188,71.67812049,26.8531,M1V,8.94
GAIA-DR3-4594497838483177984,"GAIA DR3 4594497838483177984",266.60269364,27.71382059,27.0899,M7V,9.59
GAIA-DR3-4994877094997259264,"GAIA DR3 4994877094997259264",0.54842422,-43.16843962,27.1765,A6V,12.90
GAIA-DR3-4594497769766809216,"GAIA DR3 4594497769766809216",266.61321351,27.71727504,27.1968,G3IV,3.24
GAIA-DR3-4594497834189213184,"GAIA DR3 4594497834189213184",266.60286144,27.71373737,27.2053,M8V,9.18
GAIA-DR3-3713594960831605760,"GAIA DR3 3713594960831605760",204.11607941,3.67447929,27.2350,G7V,14.38
GAIA-DR3-2159844052779000064,"GAIA DR3 2159844052779000064",275.60383796,62.04499387,27.2361,M6V,11.82
GAIA-DR3-2879455480942629248,"GAIA DR3 2879455480942629248",355.78150916,36.53631038,27.2753,M4V,11.17
GAIA-DR3-2974726131970829952,"GAIA DR3 2974726131970829952",75.61783104,-21.25787833,27.2766,M1V,7.79
GAIA-DR3-5224460173763882496,"GAIA DR3 5224460173763882496",174.52796501,-77.36075894,27.3296,M4V,12.82
GAIA-DR3-2974726136265625088,"GAIA DR3 2974726136265625088",75.61776596,-21.25763920,27.4485,M9V,9.64
GAIA-DR3-2202703050401536000,"GAIA DR3 2202703050401536000",327.91636042,59.29292978,27.6041,G3IV,14.37
GAIA-DR3-1534011998572555776,"GAIA DR3 1534011998572555776",188.43142838,41.35877669,27.6342,G8IV,4.09
GAIA-DR3-3377365057060447616,"GAIA DR3 3377365057060447616",96.17468891,23.43077857,27.7047,M0IV,11.66
GAIA-DR3-6021430250773733632,"GAIA DR3 6021430250773733632",245.00935125,-37.52540961,27.7158,M7IV,12.90
GAIA-DR3-6021430250773348736,"GAIA DR3 6021430250773348736",245.01042208,-37.52461045,27.7647,M1V,9.50
GAIA-DR3-5639391810273308416,"GAIA DR3 5639391810273308416",130.37950136,-32.93649497,27.7826,A1V,11.82
GAIA-DR3-3507879565090229888,"GAIA DR3 3507879565090229888",199.59629813,-18.31592210,27.8356,G8V,4.53
GAIA-DR3-3705324881045028992,"GAIA DR3 3705324881045028992",195.13547450,5.68656685,27.8689,M4V,11.77
GAIA-DR3-6378584028690858496,"GAIA DR3 6378584028690858496",343.92147125,-75.46337685,28.0412,M4V,9.29
GAIA-DR3-3179036008830848,"GAIA DR3 3179036008830848",48.35325824,4.77520017,28.0522,M5V,12.10
GAIA-DR3-4900108950849461248,"GAIA DR3 4900108950849461248",5.03560955,-64.86961714,28.0728,G0V,4.07
GAIA-DR3-1165479168642900992,"GAIA DR3 1165479168642900992",232.62556001,9.43455139,28.1067,M7V,13.07
GAIA-DR3-2886233695250041216,"GAIA DR3 2886233695250041216",91.21742525,-34.55841282,28.2636,M6IV,11.11
GAIA-DR3-3464485826872541440,"GAIA DR3 3464485826872541440",175.34234991,-36.40821491,28.3409,M2V,11.58
GAIA-DR3-3399063235755057792,"GAIA DR3 3399063235755057792",88.59482419,20.27585215,28.3739,G9IV,4.24
GAIA-DR3-4365609170043180416,"GAIA DR3 4365609170043180416",254.27604769,-4.35064932,28.3822,M5V,10.91
GAIA-DR3-4960651016012601856,"GAIA DR3 4960651016012601856",24.84136681,-39.60350836,28.4595,M6V,12.57
GAIA-DR3-3101923001490347392,"GAIA DR3 3101923001490347392",103.07278432,-5.17372829,28.5215,K4V,6.23
GAIA-DR3-3101920046552857728,"GAIA DR3 3101920046552857728",103.07260096,-5.19006974,28.5374,M9IV,9.10
GAIA-DR3-4031586157514097024,"GAIA DR3 4031586157514097024",177.77908195,35.27313964,28.5888,M0V,8.85
GAIA-DR3-5951165616611763456,"GAIA DR3 5951165616611763456",259.77265431,-46.63575838,28.6728,K0V,5.30
GAIA-DR3-6847167606385195648,"GAIA DR3 6847167606385195648",303.82866493,-27.03378081,28.7395,K4V,5.48
GAIA-DR3-2627117287488522240,"GAIA DR3 2627117287488522240",332.42315157,-4.64083482,28.7503,M3IV,9.24
GAIA-DR3-5951165616635298816,"GAIA DR3 5951165616635298816",259.76853246,-46.63635961,28.7906,M9V,7.99
GAIA-DR3-4519789321942643072,"GAIA DR3 4519789321942643072",286.77091075,20.88648752,28.7992,M9V,9.81
GAIA-DR3-4519789081415296128,"GAIA DR3 4519789081415296128",286.80272964,20.87553840,28.8066,M6IV,9.81
GAIA-DR3-5260759175761502976,"GAIA DR3 5260759175761502976",98.43896955,-75.62380392,28.8298,M3V,10.21
GAIA-DR3-5260759175761501696,"GAIA DR3 5260759175761501696",98.42498691,-75.62874086,28.8302,M7IV,9.38
